"Organisation","gl11_q1_a/singleChoice","gl11_q1_b/singleChoice","gl11_q1_c_waste/singleChoice","gl11_q1_c_transport/singleChoice","gl11_q1_c_procurement/singleChoice","gl11_q1_c_water/singleChoice","gl11_q1_c_construction/singleChoice","gl11_q1_c_emissions/singleChoice","gl11_q1_c_community/singleChoice","gl11_q1_c_biodiversity/singleChoice","gl11_q1_c/singleChoice","gl11_q2_a_pt_sole/quantity","gl11_q2_b_ft_specific/quantity","gl11_q2_c_ft_partial/quantity","gl11_q2_d_ft_sole/quantity","gl11_q2/singleChoice","gl11_q2/quantity","gl11_q3_a_waste/singleChoice","gl11_q3_a_transport/singleChoice","gl11_q3_a_procurement/singleChoice","gl11_q3_a_energy/singleChoice","gl11_q3_a_water/singleChoice","gl11_q3_a_construction/singleChoice","gl11_q3_a_emissions/singleChoice","gl11_q3_a_biodiversity/singleChoice","gl11_q3_b/singleChoice","gl11_q4_a/singleChoice","gl11_q4_bc/singleChoice","gl11_q4_d/singleChoice","gl11_q5_a/singleChoice","gl11_q5_b/singleChoice","gl11_q5_c/singleChoice","gl11_q5_d/singleChoice","gl11_q5_e/singleChoice","gl11_q5_f/singleChoice","gl11_q6_a_fairtrade/gateway","gl11_q6_a_fairtrade/singleChoice","gl11_q6_a_fairtrade/multiChoice","gl11_q6_b/singleChoice","gl11_q6_c/singleChoice","gl11_q7_a/singleChoice","gl11_q7_b/singleChoice","gl11_q7_c_i/singleChoice","gl11_q7_c_ii_fish/singleChoice","gl11_q7_c_iii_veg/singleChoice","gl11_q7_c_iv_water/singleChoice","gl11_q7_c_v_award/singleChoice","gl11_q7_c/singleChoice","gl11_q8_a/singleChoice","gl11_q8_b/singleChoice","gl11_q8_c/singleChoice","gl11_q8_d/singleChoice","gl11_q8_e/singleChoice","gl11_q8_f/singleChoice","gl11_q8_g/singleChoice","gl11_q8_h/singleChoice","gl11_q8_i/singleChoice","gl11_q8_j/singleChoice","gl11_q8_k/singleChoice","gl11_q8_l/singleChoice","gl11_q8_m/singleChoice","gl11_q8/singleChoice","gl11_q9_a/singleChoice","gl11_q9_b/singleChoice","gl11_q9_c/singleChoice","gl11_q9_d/singleChoice","gl11_q9_e/singleChoice","gl11_q9/singleChoice","gl11_q10_1_energy_renewable_pc/singleChoice","gl11_q10_1_energy_renewable_pc/multiChoice","gl11_q10_1_energy_renewable_pc/quantity","gl11_q10_energy_total/singleChoice","gl11_q10_energy_total/multiChoice","gl11_q10_2_energy_chp/singleChoice","gl11_q10_2_energy_chp/multiChoice","gl11_q10_2_energy_chp/quantity","gl11_q10_3_energy_lzc/singleChoice","gl11_q10_3_energy_lzc/multiChoice","gl11_q10_3_energy_lzc/quantity","gl11_q11_waste_total/singleChoice","gl11_q11_waste_total/multiChoice","gl11_q11_1_waste_recycled/singleChoice","gl11_q11_1_waste_recycled/multiChoice","gl11_q11_1_waste_recycled/quantity","gl11_q11_2_waste_kgph/singleChoice","gl11_q11_2_waste_kgph/multiChoice","gl11_q11_2_waste_kgph/quantity","gl11_q12_carbon_total/singleChoice","gl11_q12_carbon_total/multiChoice","gl11_q12_1_carbon_ph/singleChoice","gl11_q12_1_carbon_ph/multiChoice","gl11_q12_1_carbon_ph/quantity","gl11_q12_2_carbon_reduction/singleChoice","gl11_q12_2_carbon_reduction/multiChoice","gl11_q12_2_carbon_reduction/quantity","gl11_q13_water_total/singleChoice","gl11_q13_water_total/multiChoice","gl11_q13_1_water_ph/singleChoice","gl11_q13_1_water_ph/multiChoice","gl11_q13_1_water_ph/quantity","gl11_q13_2_water_grey/singleChoice","gl11_q13_2_water_grey/multiChoice","gl11_q13_2_water_grey/quantity","gl11_total_score/singleChoice","gl11_total_score/quantity","gl11_rank/quantity","gl11_last_year_rank/quantity","gl11_class/singleChoice",""
"Teesside University",1,2,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",0,0,1.5,0,0,4,0.6,0.5,0.5,0,0.5,0.5,0,0,0.5,0,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No",2,"No","No","No","No","Yes",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",0,"",19.13,4,"",44.02,5,"",5,"",657.23,0,"",-14.84,4,"",4,"",4.17,0,"",0,18.5,31.5,62,98,"2:1",""
"Thames Valley University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"No","Yes","No","No","No",0,"No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",16.66,2,"",96.71,5,"",5,"",608.45,0,"",-11.04,4,"",4,"",4.47,0,"",0,8,19,123,119,"Fail",""
"University of The West of Scotland",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1.1,0,0,0,4,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,2,0,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","Yes","Yes","No","No",0.5,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No",2,"No","No","Yes","Yes","Yes",1,2," (Nb: value not an option listed in question defniition)",83,2,"",0,"",0,0,"",0,5,"",3,"",59.82,2,"",128.31,3,"",3,"",853.05,0,"",-42.47,3,"",3,"",6.86,0,"",0,21,34,45,72,"2:1",""
"University of Wales, Trinity St. David",0,0,"Yes","Yes","No","No","No","Yes","Yes","No",0,0,0,0.5,0,8,2.1,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3.5,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",574219,0,"",0,7,"",4,"",77.14,3,"",50.35,5,"",1,"",1905.08,4,"",49.2,1,"",1,"",15.93,0,"",0,14.5,28.5,83,0,"2:2",""
"University of Central Lancashire",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1.6,3,0,0,6,1.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,"Yes","Yes","Yes","Yes","Yes",2,2," (Nb: value not an option listed in question defniition)",65,4,"",1,"",147000,1,"",0.2,4,"",2,"",43.89,2,"",116.21,4,"",4,"",720.8,0,"",-3.58,3,"",3,"",5.49,0,"",0,30.5,45.5,7,4,"1st",""
"University College London",1,2,"Yes","No","Yes","No","Yes","No","No","No",0,0,1,0,1,4,0.7,0.5,0.5,0,0.5,0.5,0,0,0.5,2,1,1,1,2,0,1,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes",2,"Yes","Yes","Yes","No","No",1,0,"UNANSWERED",0,1,"",1,"",30854190,0,"",0,5,"",3,"",55.18,2,"",113.32,0,"",0,"",2536.45,0,"",-62.18,1,"",1,"",18.33,0,"",0,24.5,31.5,62,48,"2:1",""
"University of East London",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0,2,4,0.7,0,0.5,0,0.5,0.5,0,0,0.5,1,0,0,0,2,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.05,4,"",4,"",96.16,0,"",670.04,9,"",6,"",533.44,3,"",11.82,3,"",3,"",5.99,0,"",0,17,34,45,63,"2:1",""
"University of Ulster",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,3.1,0,1,6,1.4,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,1,0,0,2,0,1,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No",2,"No","No","Yes","No","Yes",1,1," (Nb: value not an option listed in question defniition)",10,4,"",1,"",5494000,2,"",2.71,6,"",2,"",38.9,4,"",38.95,6,"",4,"",844.52,2,"",7.26,4,"",3,"",7.29,1,"",0.0031,22.5,42.5,18,104,"1st",""
"University College Birmingham",0,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,1,"",0,"",7.15,1,"",263.41,4,"",4,"",750.46,0,"",-17.02,2,"",2,"",11.9,0,"",0,0,0,0,0,"Did not sit exam",""
"University College Plymouth Marjon",1,0,"Yes","No","No","Yes","Yes","Yes","Yes","No",0,0,0,1,0,8,2.1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","Yes","No","No","No","No","Yes","No","No",0,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",21.79,2,"",113.21,8,"",4,"",808.89,4,"",30.74,2,"",2,"",11.58,0,"",0,10,22,117,133,"3rd",""
"University of The Arts, London",1,2,"Yes","No","Yes","No","Yes","No","No","No",0,0,0,0,1,0,0.3,0.5,0,0,0.5,0.5,0,0,0,0,0,1,0,0,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","No","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No",2,"Yes","No","No","Yes","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,7,"",4,"",64.84,3,"",80.72,5,"",5,"",603.23,0,"D38c_C01_carbon_total:13070207, Baseline_2005_carbon:No 2005 baseline, LY_D38c_C1_carbon:14041020.89",0,4,"",4,"",5,0,"",0,11,27,94,72,"2:2",""
"University Of Wales Institute, Cardiff",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,0,1,0,1,6,1.1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1,1,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","Yes","No","No",0,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No",3,"No","No","Yes","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.01,4,"",1,"",33.22,3,"",58.97,7,"",5,"",682.8,2,"",6.94,5,"",3,"",7.18,2,"",1.6118,22,39,24,70,"1st",""
"University of The West of England, Bristol",1,0,"Yes","No","Yes","Yes","Yes","No","No","No",0,0.6,6,0,1,8,2.5,0.5,0.5,0,0.5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","No","Yes","No","Yes",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes",3,"No","No","Yes","Yes","Yes",1,1," (Nb: value not an option listed in question defniition)",35,2,"",0,"",0,1,"",0.01,5,"",2,"",42.6,3,"",72.64,6,"",6,"",588.48,0,"",-8.59,3,"",2,"",8.97,1,"",0.0215,20.5,36.5,34,17,"2:1",""
"University of Warwick",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",0,0,2.5,0,1,6,1.2,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0,"No","No","Yes","No","No",0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"No","No","No","No","No",0,0,"ZERO",0,2,"",1,"",72933116,1,"",0.01,3,"",1,"",29.2,2,"",124.2,1,"",0,"",2054.41,1,"",2.09,1,"",0,"",26.41,1,"",0.0017,19.5,26.5,97,65,"2:2",""
"University of Westminster",1,0,"Yes","No","Yes","No","No","No","No","Yes",0,0.5,0.5,0,0,0,0.3,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","No","Yes","No",0.5,"No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No",2,"No","No","Yes","No","No",0,0,"ZERO",0,0,"",0,"",0,0,"D38a_C01_energy_total:44684781, D72d_C01_energy_renewable:",0,4,"",3,"",50.06,1,"",198.47,4,"",4,"",814.96,0,"",-23.64,3,"",3,"",7.86,0,"",0,7.5,18.5,126,77,"Fail",""
"University of Winchester",1,2,"Yes","Yes","Yes","Yes","No","Yes","Yes","No",0,0,0,0,1,6,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","Yes",1,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No",3,"Yes","No","Yes","No","Yes",1,3," (Nb: value not an option listed in question defniition)",92,3,"",0,"",0,0,"",0,5,"",3,"",52.19,2,"",87.38,4,"",4,"",721.85,0,"",-18.26,1,"",1,"",16.91,0,"",0,26,39,24,28,"1st",""
"University of Wolverhampton",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,0,1,0.5,0,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","Yes","No","No",0,"Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",149728,0,"",0,2,"",0,"",17.84,2,"",97.26,7,"",4,"",817.87,3,"",12.45,3,"",3,"",6.47,0,"",0,16,29,78,126,"2:2",""
"University of Worcester",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.8,0,0,2,8,2.3,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,4,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",3,"Yes","Yes","Yes","No","Yes",2,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",4,"",78.7,0,"",100660.59,5,"",5,"",708.3,0,"",-30.94,5,"",3,"",6.15,2,"",13.3004,36,50,3,17,"1st",""
"York St John University",1,0,"No","No","No","No","No","No","No","No",0,0,1,0,0,6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","No","No","No",0.5,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",23.78,2,"",109.98,3,"",3,"",947.55,0,"",-7.2,2,"",2,"",11.91,0,"",0,8.5,15.5,131,101,"Fail",""
"University of York",1,2,"No","Yes","No","No","Yes","No","No","Yes",0,3,0,0,1,6,1.6,0.5,0.5,0,0.5,0,0,0,0.5,0,1,1,0,2,2,0,1,0.5,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",11426341,0,"",0,5,"",2,"",43.07,3,"",64.36,2,"",1,"",1752.89,1,"",3.9,0,"",0,"",23.13,0,"",0,21.5,29.5,75,48,"2:2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
